# Fuentes oficiales candidatas por auto — marca<TAB>modelo<TAB>url
#
# Se aplica con:  npx tsx --env-file=.env.local scripts/validar-fuentes.ts data/fuentes-candidatas.tsv
# y de ahí a Sanity con: scripts/import-sheet-fuentes.ts (tras revisar en el Sheet).
#
# Armado a mano cruzando sitemaps de marca, buscadores y los patrones de cada sitio.
# Vale conservarlo: el descubrimiento automatico solo llega a ~48 de 182 porque la mayoria
# de los sitios chilenos no exponen el catalogo sin JavaScript.

AVTR	11	https://www.avatrautos.cl/vehiculo/avatr-11
Audi	A6 Sportback e-tron	https://www.audi.cl/a6-e-tron/a6-sportback-e-tron/informacion-general 	# necesita navegador
Audi	Q4 Sportback e-tron	https://www.audi.cl/q4/q4-sportback-e-tron/informacion-general 	# necesita navegador
Audi	Q6 E-tron	https://www.audi.cl/q6-e-tron 	# necesita navegador
Audi	Q6 Sportback e-tron	https://www.audi.cl/q6-e-tron/q6-sportback-e-tron/informacion-general 	# necesita navegador
BMW	X1 PHEV	https://www.bmw.cl/modelos/x1
BMW	i4 eDrive40 Gran Coupé	https://www.bmw.cl/modelos/i4
BMW	i5 eDrive40 Berlina M Sport	https://www.bmw.cl/modelos/i5
BMW	iX1 xDrive30 xLine	https://www.bmw.cl/modelos/ix1
BMW	iX2 xDrive30 M Sport HEA	https://www.bmw.cl/modelos/ix2
BYD	Atto 8	https://www.byd.com/cl/atto-8 	# necesita navegador
BYD	Dolphin Mini	https://www.byd.com/cl/car/dolphin-mini 	# necesita navegador
BYD	Sealion 7	https://www.byd.com/cl/sealion-7
BYD	Shark	https://www.byd.com/cl/order-shark 	# necesita navegador
BYD	Song Plus DM-I	https://www.byd.com/cl/order-song-plus-dmi 	# necesita navegador
BYD	Song Pro	https://www.byd.com/cl/Order-Song-Pro 	# necesita navegador
BYD	Tang	https://www.byd.com/cl/car/tang 	# necesita navegador
BYD	Yuan Plus	https://www.byd.com/cl/order-yuan-plus 	# necesita navegador
BYD	Yuan Pro	https://www.byd.com/cl/yuan-pro-dmi 	# necesita navegador
Changan	CS55 Plus iDD	https://www.changan.cl/vehiculo/cs55-plus-idd/
Changan	Eado Plus iDD	https://www.changan.cl/vehiculo/eado-plus-idd/
Changan	Hunter E REEV	https://www.changan.cl/vehiculo/new-hunter-reev/
Changan	Lumin	https://www.changan.cl/vehiculo/lumin/
Chery	Tiggo 4 HEV	https://chery.cl/tiggo-4-hev/
Chery	Tiggo 7 Pro Max PHEV	https://chery.cl/tiggo-7-pro-max-phev/
Chery	Tiggo 7 Pro PHEV	https://chery.cl/tiggo-7-pro-max-phev/
Chery	Tiggo 8 Pro PHEV	https://chery.cl/tiggo-8/
Chery	Tiggo 9 PHEV	https://chery.cl/tiggo-9-phev/
Chevrolet	Blazer EV	https://www.chevrolet.cl/autos-electricos/blazer-rs-ev
Chevrolet	Bolt EUV	https://www.chevrolet.cl/autos-electricos
Chevrolet	Captiva EV	https://www.chevrolet.cl/autos-electricos/captiva-ev
Chevrolet	Captiva PHEV	https://www.chevrolet.cl/autos-hibridos/captiva-phev
Chevrolet	Equinox EV	https://www.chevrolet.cl/autos-electricos/equinox-ev
Chevrolet	Spark EUV	https://www.chevrolet.cl/autos-electricos/spark-euv
Cupra	Formentor e-Hybrid	https://www.cupraofficial.cl/formentor-e-hybrid/Formentor-e-hybrid
Cupra	Tavascan EV	https://www.cupraofficial.cl/Tavascan/tavascan
Cupra	Terramar	https://www.cupraofficial.cl/Terramar
DFSK	600 PHEV	https://www.dfsk.cl/600-phev/
DFSK	E5 Plus	https://www.dfsk.cl/vehiculos/dfsk/e5-plus/
DS	3	https://cotizador.dsautomobiles.cl/modelos/ds3/cotiza.html 	# necesita navegador
DS	3 Opera E-tense	https://cotizador.dsautomobiles.cl/modelos/ds3/cotiza.html 	# necesita navegador
Deepal	S05	https://forsale.dynadot.com/deepal.cl?drefid=2071 	# necesita navegador
Deepal	S05 REEV	https://forsale.dynadot.com/deepal.cl?drefid=2071 	# necesita navegador
Deepal	S07 BEV	https://forsale.dynadot.com/deepal.cl?drefid=2071 	# necesita navegador
Deepal	S07 REEV	https://forsale.dynadot.com/deepal.cl?drefid=2071 	# necesita navegador
